name;telefon;email;website;link_status;plz;ort;strasse;angebot;koordinaten
Schwimmclub Zug;;;https://schwimmclubzug.ch/;200;;Baar;;Schwimmverein (Wettkampf, Kat. A);
Schwimmgemeinschaft Liechtenstein;;;https://www.lieswimming.li/;200;;Vaduz (FL);;Assoziierter Verein;
Schwimmklub Bern;;;https://skbe.ch/;200;;Bern;;Schwimmverein (Wettkampf, Kat. A);
Schwimmklub Gelterkinden;;;http://www.skgelterkinden.ch/;200;;Gelterkinden;;Schwimmschule / Breitensport (Kat. B);
Schwimmklub Langenthal;;;https://www.skla.ch/;200;;Langenthal;;Schwimmverein (Wettkampf, Kat. A);
Schwimmklub Langnau;;;http://www.sklangnau.ch/;200;;Langnau i.E.;;Schwimmverein (Wettkampf, Kat. A);
Schwimmklub Luzern;;;https://schwimmklub-luzern.ch/;403;;Luzern;;Schwimmverein (Wettkampf, Kat. A);
Schwimmklub Pratteln;;;https://skpratteln.ch/;200;;Pratteln;;Schwimmverein (Wettkampf, Kat. A);
Schwimmklub Region Murten;;;https://www.srm-murten.ch/;200;;Murten;;Schwimmverein (Wettkampf, Kat. A);
Schwimmklub Sparta Konstanz;;;https://sparta-konstanz.de/;200;;Konstanz (DE);;Assoziierter Verein;
Schwimmklub Thun;;;https://www.skthun.ch/;200;;Thun;;Schwimmverein (Wettkampf, Kat. A);
Schwimmklub Uri;;;https://new.skuri.ch/;200;;Bürglen UR;;Schwimmverein (Wettkampf, Kat. A);
Schwimmklub Worb;;;https://www.skworb.ch/;200;;Worb;;Schwimmverein (Wettkampf, Kat. A);
Schwimmklub Zollikon;;;https://skz.ch/;200;;Zollikon;;Schwimmverein (Wettkampf, Kat. A);
Schwimmschule Egelsee;;;https://www.schwimmschule-egelsee.ch/;200;;Kreuzlingen;;Schwimmschule / Breitensport (Kat. B);
Schwimmschule Knechtli GmbH;;;https://www.knechtli.com/;200;;Basel;;Schwimmschule / Breitensport (Kat. B);
Schwimmschule Schwimmfreunde;;;https://www.schwimmfreunde.ch/;200;;Andhausen/Kreuzlingen;;Schwimmschule / Breitensport (Kat. B);
Schwimmschule Sitterefisch;;;https://www.sitterefisch.ch/;200;;Herisau;;Schwimmschule / Breitensport (Kat. B);
Schwimmteam Domat-Ems;;;https://schwimmteam-domatems.ch/;200;;Domat/Ems;;Schwimmschule / Breitensport (Kat. B);
Schwimmverein Baar;;;https://www.sv-baar.ch/;200;;Baar;;Schwimmverein (Wettkampf, Kat. A);
Schwimmverein Blue Star Grenchen Bettlach;;;https://www.bluestar.ch/;403;;Grenchen;;Schwimmverein (Wettkampf, Kat. A);
Schwimmverein Cham;;;https://www.sv-cham.ch/;200;;Hünenberg;;Schwimmschule / Breitensport (Kat. B);
Schwimmverein Davos;;;https://www.svdavos.ch/;200;;Davos Platz;;Schwimmverein (Wettkampf, Kat. A);
Schwimmverein Oberwallis 1988;;;https://www.ow88.ch/;200;;Brig;;Schwimmverein (Wettkampf, Kat. A);
Schwimmverein Sempachersee;;;https://www.svsempachersee.ch/;200;;Sursee;;Schwimmverein (Wettkampf, Kat. A);
Schwimmverein St. Gallen – Wittenbach;;;https://svsw.ch/;200;;St. Gallen;;Schwimmverein (Wettkampf, Kat. A);
Schwimmverein Wädenswil;;;https://svw85.ch/;200;;Wädenswil;;Schwimmverein (Wettkampf, Kat. A);
Schwimmverein Zürileu;;;https://svzuerileu.ch/;200;;Zürich;;Schwimmverein (Wettkampf, Kat. A);
Società Nuoto Chiasso;;;https://www.nuotochiasso.ch/;200;;Chiasso;;Schwimmverein (Wettkampf, Kat. A);
Società Nuoto Lugano;;;https://www.luganonuoto.ch/;200;;Lugano;;Schwimmverein (Wettkampf, Kat. A);
Società Nuoto Mendrisio;;;https://www.societanuotomendrisio.ch/;200;;Mendrisio;;Schwimmverein (Wettkampf, Kat. A);
Società Nuoto Valgersa;;;http://www.snvalgersa.ch/;200;;Massagno;;Schwimmschule / Breitensport (Kat. B);
